touristPlace,city,latitude,longitude,rating,imageURL,entryFee
Girgaon Chowpatty,Mumbai,18.95382236,72.8145684,4.2,https://lh5.googleusercontent.com/p/AF1QipMsas9JIBdtHxaQiYxhbaYbs7lpy0Ehx5RzkUMz=w408-h306-k-no,0
Mysuru Palace,Mysore ,12.30538,76.65517,4.6,https://lh5.googleusercontent.com/p/AF1QipP4P5qQqVo9JstXBfZI33pRPiwasE8hOUAYh5sa=w408-h305-k-no,40
Sand Sculpture Museum,Mysore ,12.295205,76.68187,4.4,https://www.bestbus.in/assets/images/tourist-attractions/sand-sculpture-museum-mysore.jpg,50
Sri Chamarajendra Zoological Gardens,Mysore ,12.30261,76.6638,4.5,https://i0.wp.com/nammamysore.com/wp-content/uploads/2020/06/GiraffesAtZoo.jpg?resize=600%2C396&ssl=1,100
Namdroling Monastery,Mysore ,12.43088,75.966665,4.5,https://static.toiimg.com/photo/58374910.cms,0
"Lake Rafting, Varuna Lake",Mysore ,12.274819,76.74532,4.4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6d/5e/3f/the-launching-jetty.jpg?w=1200&h=-1&s=1,1000
"Jeep Safari, Nagarhole Nagarahole Tiger Reserve",Mysore ,12.048742,76.15314,4.4,"https://res.cloudinary.com/thrillophilia/image/upload/c_fill,f_auto,fl_progressive.strip_profile,g_auto,q_auto/v1/filestore/elbdlpn1h854q62oz9wf5xtrw4pn_safari7.jpg",500
"Trekking, Chamundi Hills",Mysore ,12.27762,76.6688,5,https://3.bp.blogspot.com/-lP1LB5oMQao/TcJTNDGmk2I/AAAAAAAAHKE/4ZPaN6zytRQ/s1600/steps.jpg,3199
Brindavan Gardens,Mysore ,12.42205088,76.5728,4.3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1b/b7/ee/view-from-brindavan-gardens.jpg?w=700&h=-1&s=1,50
Immaculate Conception Church,Panaji,15.498687,73.829258,4.4,https://www.tourmyindia.com/states/goa/image/our-lady-of-immaculate-conception-church-goa.webp,0
Se Cathedral,Panaji,15.503794,73.912213,4.5,https://www.holidify.com/images/cmsuploads/compressed/pexelsphoto2602998_20200806171104.jpeg,0
Maruti Temple,Panaji,15.490764,73.828274,4.7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/75/74/90/maruti-temple-from-outside.jpg?w=1200&h=-1&s=1,0
Basilica of Bom Jesus,Panaji,15.5011,73.911648,4.5,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1073481062_20190822145857.jpg,0
Aguada Fort,Panaji,15.492355,73.773756,4.2,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1065727913_20190822150731.jpg,0
Deltin Royale,Panaji,15.501322,73.811816,4.3,"https://img.etimg.com/thumb/msid-47658647,width-1200,height-900,imgsize-150608,overlay-etpanache/photo.jpg",3000
Vainguinim Beach,Panaji,15.455681,73.813415,4.3,"https://res.cloudinary.com/thrillophilia/image/upload/c_fill,f_auto,fl_progressive.strip_profile,g_auto,h_600,q_auto,w_auto/v1/filestore/tf8bnmg9rvvsm5gwse67mbvv0g6o_1549271742_shutterstock_136332962.jpg",0
Cabo de Rama Fort,Panaji,15.089033,73.921496,4.4,https://i0.wp.com/www.exploreincrediblegoa.com/blog/wp-content/uploads/2018/06/Cabo-de-Rama.jpg?fit=800%2C531&ssl=1,0
Dona Paula Beach,Panaji,15.454756,73.804465,4,https://www.trawell.in/admin/images/upload/121905580DonaPaula_Beach_Main.jpg,0
Mangrove Boardwalk,Panaji,15.494207,73.83259,4.2,https://i0.wp.com/www.goacoworking.com/wp-content/uploads/2021/05/179423455_106509828172316_7382527664859373752_n.jpg?resize=1024%2C1024&ssl=1,0
