city,latitude,longitude,pageurl,site_review_rating,property_name
Munnar,10.0889333,77.0595248,http://www.goibibo.com/hotels/detail/Munnar/hn/1780299204263085384/4453904589971566744/na/hq/,1,Casito
Bharatpur,27.16619372,77.28705939,http://www.goibibo.com/hotels/detail/Bharatpur/hn/5480684591658727688/1932089477974947988/na/hq/,4.5,Chandra Mahal Haveli - Peharsar
Mumbai,19.1551485,72.8678551,http://www.goibibo.com/hotels/detail/Mumbai/hn/4213513766539949483/5379772580028066487/na/hq/,1,Castle Service Apartments Goregaon East
Rishikesh,30.14118403,78.38547707,http://www.goibibo.com/hotels/detail/Rishikesh/hn/1546081981995124445/202649215561205280/na/hq/,1,Camp Footloose
Mayurbhanj,21.7399401,86.8431671,http://www.goibibo.com/hotels/detail/Mayurbhanj/hn/4116358828596720861/9101930395803834777/na/hq/,1,BNT Dharamshala
Mumbai,19.1241087,72.8614488,http://www.goibibo.com/hotels/detail/Mumbai/hn/4213513766539949483/2219322004296726825/na/hq/,1,Castle Service Apartment
Karaikkudi,10.17444198,78.78072843,http://www.goibibo.com/hotels/detail/Karaikkudi/hn/8839266723457786720/7120832966774535169/na/hq/,5,Chettinadu Mansion
Lonavala,18.74806,73.40722,http://www.goibibo.com/hotels/detail/Lonavala/hn/2562341919299046803/8885814669509494479/na/hq/,3.6,Bungalow 6
Kullu,31.64114258,77.40675038,http://www.goibibo.com/hotels/detail/Kullu/hn/8540125979677725647/7588023505050346770/na/hq/,1,BHAGWATI HOME STAY
Kolkata,22.5135652,88.3475776,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/1758676472658605783/na/hq/,1,BLUE PINE RETREAT
Goa,15.5809248,73.7448437,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/6493283373531562898/na/hq/,1,Casa D Souza
Bangalore,12.9589583,77.6636044,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/607821768489088959/na/hq/,4.9,Catalyst Suites (Old Airport )
Faridabad,28.3624961,77.1873772,http://www.goibibo.com/hotels/detail/Faridabad/hn/5092141098358928510/1358544719560635489/na/hq/,1,Camp Wild
Goa,15.6657394,73.71271585,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/4273365458548217317/na/hq/,3.7,Casa D Calma
Hamirpur,31.6993508,76.51905836,http://www.goibibo.com/hotels/detail/Hamirpur/hn/3056385759894944138/526853218804474811/na/hq/,4.5,Chopra residency
Gurgaon,28.487598,77.089062,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/892322775930674021/na/hq/,1,Cherisha Zone Hotel
Manali,32.2396325,77.1887145,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/6771253025401854648/na/hq/,4.2,Cibori Cloud
Nellore,14.4462682,79.9794142,http://www.goibibo.com/hotels/detail/Nellore/hn/1249024175655509470/2515176684415408081/na/hq/,1,Bhavani Residency
Srinagar,34.08546066,74.8372345,http://www.goibibo.com/hotels/detail/Srinagar/hn/5999885939075030137/2951006393403221456/na/hq/,1,Boat New Engilla
Hyderabad,17.385044,78.486671,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/5145462212578421059/na/hq/,1,C 9 Service Apartments
Chennai,12.90076444,80.22796815,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/4581462990314698922/na/hq/,4.3,"Catch22 Hospitality Services , OMR Sholinganallur"
Mandarmani,21.66541483,87.70812276,http://www.goibibo.com/hotels/detail/Mandarmani/hn/1111111239243616096/9106145739231785889/na/hq/,4.2,Bombay Beach Resort
Darjeeling,27.03667575,88.26578584,http://www.goibibo.com/hotels/detail/Darjeeling/hn/4863087815102631912/6839534274337852934/na/hq/,5,Cedar Inn
Srinagar,34.13923031,74.83967644,http://www.goibibo.com/hotels/detail/Srinagar/hn/5999885939075030137/4388762749527649485/na/hq/,1,Butt Clermont Houseboat
Ahmedabad,23.05908108,72.5228979,http://www.goibibo.com/hotels/detail/Ahmedabad/hn/6067246467661897899/1763108336892136305/na/hq/,2.9,Cambay Grand
Indore,22.72303869,75.88701947,http://www.goibibo.com/hotels/detail/Indore/hn/6727020267875173073/976746151854570262/na/hq/,3.7,Cherry Tree Hotels
Mussoorie,30.4554533,78.1022729,http://www.goibibo.com/hotels/detail/Mussoorie/hn/4206204899126402897/2618977691871804911/na/hq/,3.1,Castle View
Jaipur,24.58,73.68,http://www.goibibo.com/hotels/detail/Jaipur/hn/4278754392716898526/2984243903598266017/na/hq/,4.8,Bharat Mahal Palace
Greater Noida,28.47276721,77.51061684,http://www.goibibo.com/hotels/detail/Greater Noida/hn/2351986185065628184/2535989695838295315/na/hq/,1,Bhambri House
Gurgaon,28.4550205,77.0601733,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/4879183295313770484/na/hq/,1,Callista Inn South City
Tehri,30.2153505,78.7483293,http://www.goibibo.com/hotels/detail/Tehri/hn/603614548687761778/4307034661114358823/na/hq/,1,Camp High 5
Kotagiri,11.4234426,76.8672749,http://www.goibibo.com/hotels/detail/Kotagiri/hn/2804132188718926733/6328782185456055359/na/hq/,3,Celestial Resorts
Raigad,18.794883,72.8940142,http://www.goibibo.com/hotels/detail/Raigad/hn/3780529626681451081/7687161958290382457/na/hq/,1,Cesolo Alibaug
Mumbai,19.0408636,72.8434571,http://www.goibibo.com/hotels/detail/Mumbai/hn/4213513766539949483/648106412390279877/na/hq/,1,Bombay Nightout
Manali,32.236735,77.1943747,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/3120209597487985836/na/hq/,3.5,ChanderMukhi Cottage
Manali,32.21807781,77.18555053,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/8030567243786430508/na/hq/,1,Chayan Cottage Manali
Alleppey,9.4980667,76.3388484,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/8432989662686278043/na/hq/,3.3,Chalet regency
Dalhousie,32.5444428,75.9598266,http://www.goibibo.com/hotels/detail/Dalhousie/hn/3084536095241319598/810414537002878001/na/hq/,3.6,Chobhyal Cottage
Kolkata,22.5140835,88.3546409,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/8773991042599648841/na/hq/,1,Blue Merry Inn Pvt. Ltd
Goa,15.55912864,73.76325002,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/100409724497714341/na/hq/,1,Blue Beach Nest Service Apartments
Goa,15.4936831,73.8360063,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/1636210122188151339/na/hq/,1,Champions Yacht - Free Spirit
Chennai,13.0826802,80.2707184,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/1493431084715915167/na/hq/,1,Chennaibnb
Goa,15.5145247,73.7683784,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/5530547731195186686/na/hq/,4,CASA DA BOA VIDA
Noida,28.6284666,77.3877033,http://www.goibibo.com/hotels/detail/Noida/hn/2311763083662248959/9108237839407529889/na/hq/,3.5,BRS Homes
Siliguri,26.7083818,88.4268741,http://www.goibibo.com/hotels/detail/Siliguri/hn/1076703141543671718/8530643862333839157/na/hq/,1,BIMAL GUEST HOUSE
Dehradun,30.2882791,78.0259281,http://www.goibibo.com/hotels/detail/Dehradun/hn/1501602052591489281/8519775495747396441/na/hq/,1,Butola Guest House
Goa,15.5364236,73.7645174,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/2801473478229794065/na/hq/,3.1,CALANGUTE BEACH SIDE HOTEL
Chennai,12.95736271,80.14356051,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/7848115875289878302/na/hq/,3.7,Buhari Royale Boutique Hotel
Gangtok,27.3307009,88.6113309,http://www.goibibo.com/hotels/detail/Gangtok/hn/1196252839838244621/6411837101845781321/na/hq/,4.8,Cherry Resort
Leh,33.5958493,78.2931706,http://www.goibibo.com/hotels/detail/Leh/hn/5128830462161340517/8099632501714534618/na/hq/,1,Camel Resort &amp; Camp
Gurgaon,28.4784642,77.0988523,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/7819134252040914477/na/hq/,1,Casa Grand
Srinagar,34.0836708,74.7972825,http://www.goibibo.com/hotels/detail/Srinagar/hn/5999885939075030137/8143103712399192833/na/hq/,1,Boktoo Palace Group of Houseboats
Shillong,25.57597911,91.88874083,http://www.goibibo.com/hotels/detail/Shillong/hn/5893379290811218651/4280876557637308363/na/hq/,4.5,Blueberry Inn
Leh,33.5958493,78.2931706,http://www.goibibo.com/hotels/detail/Leh/hn/5128830462161340517/5933825297872985779/na/hq/,2,Camp BlueWaters
Sirmaur,30.5628455,77.4701972,http://www.goibibo.com/hotels/detail/Sirmaur/hn/3680307921805387467/7558518943876653258/na/hq/,5,Chureshwar Resort
Goa,15.64946091,73.8205491,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/5994298836639973875/na/hq/,3.8,Casa Colvale
